12/03/2024, 09:43:28,GPIO 20 state updated to ON
12/03/2024, 09:43:28,GPIO 21 state updated to ON
12/03/2024, 09:43:58,GPIO 21 state updated to OFF
12/03/2024, 09:43:58,GPIO 20 state updated to OFF
12/03/2024, 09:46:06,GPIO 21 state updated to OFF
12/03/2024, 09:46:07,GPIO 20 state updated to OFF
12/03/2024, 10:11:24,GPIO 21 state updated to ON
12/03/2024, 10:11:24,GPIO 20 state updated to ON
12/03/2024, 10:24:33,GPIO 20 state updated to ON
12/03/2024, 10:24:33,GPIO 21 state updated to ON
12/03/2024, 10:25:36,GPIO 20 state updated to OFF
12/03/2024, 10:25:36,GPIO 21 state updated to OFF
12/03/2024, 11:03:16,GPIO 21 state updated to ON
12/03/2024, 11:03:17,GPIO 20 state updated to ON
12/03/2024, 11:07:00,GPIO 21 state updated to OFF
12/03/2024, 11:07:01,GPIO 20 state updated to OFF
12/03/2024, 11:19:40,GPIO 20 state updated to ON
12/03/2024, 11:19:41,GPIO 21 state updated to ON
12/03/2024, 11:20:01,GPIO 21 state updated to OFF
12/03/2024, 11:20:01,GPIO 20 state updated to OFF
12/03/2024, 11:20:44,GPIO 21 state updated to ON
12/03/2024, 11:23:29,GPIO 21 state updated to OFF
12/03/2024, 11:23:35,GPIO 21 state updated to ON
12/03/2024, 11:23:38,GPIO 21 state updated to OFF
12/03/2024, 11:23:40,GPIO 21 state updated to ON
12/03/2024, 11:23:43,GPIO 21 state updated to OFF
12/03/2024, 11:24:42,GPIO 21 state updated to ON
12/03/2024, 11:30:35,GPIO 21 state updated to OFF
12/03/2024, 11:30:40,GPIO 21 state updated to ON
12/03/2024, 11:30:40,GPIO 20 state updated to ON
12/03/2024, 11:34:43,GPIO 21 state updated to OFF
12/03/2024, 11:34:45,GPIO 20 state updated to OFF
12/03/2024, 11:34:51,GPIO 21 state updated to ON
12/03/2024, 11:34:51,GPIO 20 state updated to ON
12/03/2024, 11:39:29,GPIO 21 state updated to OFF
12/03/2024, 11:39:30,GPIO 20 state updated to OFF
12/03/2024, 11:39:34,GPIO 21 state updated to ON
12/03/2024, 11:39:35,GPIO 20 state updated to ON
12/03/2024, 11:54:56,GPIO 21 state updated to OFF
12/03/2024, 12:07:05,GPIO 21 state updated to ON
12/03/2024, 12:10:49,GPIO 21 state updated to OFF
12/03/2024, 12:10:51,GPIO 21 state updated to ON
12/03/2024, 12:19:05,GPIO 21 state updated to OFF
12/03/2024, 12:19:06,GPIO 21 state updated to ON
12/03/2024, 12:46:56,GPIO 21 state updated to OFF
12/03/2024, 12:47:17,GPIO 21 state updated to OFF
12/03/2024, 12:51:57,GPIO 20 state updated to OFF
12/03/2024, 12:52:11,GPIO 21 state updated to ON
12/03/2024, 12:52:11,GPIO 20 state updated to ON
12/03/2024, 12:54:57,GPIO 21 state updated to OFF
12/03/2024, 12:54:57,GPIO 20 state updated to OFF
12/03/2024, 12:57:01,GPIO 21 state updated to ON
12/03/2024, 12:57:03,GPIO 20 state updated to ON
12/03/2024, 13:00:19,GPIO 21 state updated to OFF
12/03/2024, 13:00:28,GPIO 21 state updated to OFF
12/03/2024, 13:00:32,GPIO 21 state updated to OFF
12/03/2024, 13:00:32,GPIO 21 state updated to ON
12/03/2024, 13:13:39,GPIO 21 state updated to OFF
12/03/2024, 13:16:01,GPIO 21 state updated to ON
12/03/2024, 13:20:29,GPIO 21 state updated to OFF
12/03/2024, 13:20:30,GPIO 20 state updated to OFF
12/03/2024, 13:20:52,GPIO 20 state updated to ON
12/03/2024, 13:21:25,GPIO 20 state updated to OFF
12/03/2024, 13:26:01,GPIO 21 state updated to ON
12/03/2024, 13:26:01,GPIO 20 state updated to ON
12/03/2024, 13:27:58,GPIO 21 state updated to OFF
12/03/2024, 13:27:58,GPIO 20 state updated to OFF
12/03/2024, 13:28:51,GPIO 21 state updated to ON
12/03/2024, 13:28:51,GPIO 20 state updated to ON
12/03/2024, 13:29:24,GPIO 21 state updated to OFF
12/03/2024, 13:29:24,GPIO 20 state updated to OFF
12/03/2024, 13:30:28,GPIO 21 state updated to ON
12/03/2024, 13:30:28,GPIO 20 state updated to ON
12/03/2024, 13:30:43,GPIO 21 state updated to OFF
12/03/2024, 13:32:03,GPIO 21 state updated to ON
12/03/2024, 13:32:58,GPIO 21 state updated to OFF
12/03/2024, 13:32:59,GPIO 20 state updated to OFF
12/03/2024, 13:33:09,GPIO 21 state updated to ON
12/03/2024, 13:33:10,GPIO 20 state updated to ON
12/03/2024, 13:45:26,GPIO 21 state updated to OFF
12/03/2024, 13:45:42,GPIO 21 state updated to ON
12/03/2024, 13:46:05,GPIO 20 state updated to OFF
12/03/2024, 13:46:14,GPIO 20 state updated to ON
12/03/2024, 13:48:11,GPIO 21 state updated to OFF
12/03/2024, 13:48:11,GPIO 20 state updated to OFF
12/03/2024, 13:48:43,GPIO 21 state updated to ON
12/03/2024, 13:48:43,GPIO 20 state updated to ON
12/03/2024, 13:48:49,GPIO 21 state updated to OFF
12/03/2024, 13:48:50,GPIO 20 state updated to OFF
12/03/2024, 13:49:07,GPIO 20 state updated to ON
12/03/2024, 13:53:35,GPIO 21 state updated to ON
12/03/2024, 14:19:42,GPIO 21 state updated to ON
12/03/2024, 14:19:44,GPIO 20 state updated to ON
12/03/2024, 14:19:46,GPIO 20 state updated to OFF
12/03/2024, 14:19:47,GPIO 21 state updated to OFF
12/03/2024, 14:20:21,GPIO 21 state updated to ON
12/03/2024, 14:20:22,GPIO 21 state updated to OFF
12/03/2024, 14:20:23,GPIO 21 state updated to ON
12/03/2024, 14:20:24,GPIO 21 state updated to OFF
12/03/2024, 14:20:24,GPIO 21 state updated to ON
12/03/2024, 14:20:26,GPIO 20 state updated to ON
12/03/2024, 14:20:27,GPIO 20 state updated to OFF
12/03/2024, 14:20:28,GPIO 21 state updated to OFF
12/03/2024, 14:22:49,GPIO 21 state updated to OFF
12/03/2024, 14:22:50,GPIO 20 state updated to OFF
12/03/2024, 14:22:52,GPIO 20 state updated to ON
12/03/2024, 14:22:54,GPIO 21 state updated to ON
12/03/2024, 14:53:59,GPIO 21 state updated to ON
12/03/2024, 14:54:00,GPIO 20 state updated to ON
12/03/2024, 14:54:49,GPIO 21 state updated to OFF
12/03/2024, 14:54:49,GPIO 21 state updated to OFF
12/03/2024, 14:54:49,GPIO 20 state updated to OFF
12/03/2024, 14:54:49,GPIO 20 state updated to OFF
12/03/2024, 14:55:11,GPIO 21 state updated to ON
12/03/2024, 14:55:12,GPIO 20 state updated to ON
12/03/2024, 14:55:18,GPIO 21 state updated to OFF
